Alg,Config,AIQ1k,HCI1k,SD1k,AIQ3k,HCI3k,SD3k,AIQ10k,HCI10k,SD10k,AIQ30k,HCI30k,SD30k,AIQ100k,HCI100k,SD100k
 Sarsa_l,0.0_0.65_0.33_0.1_0.79,49.2,0.9,19.9,51.5,0.8,18.55,52.7,0.8,17.9,53.28,0.8,17.8,53.5,0.8,17.73
 Sarsa_l,0.0_0.65_0.33_0.1_0.99,43.9,0.8,19.4,45.7,0.8,19.15,47.23,0.8,18.94,48.62,0.8,18.76,49.71,0.8,18.61
 Sarsa_l,0.0_0.65_0.55_0.005_0.6,48.2,1.1,24.5,51.35,1.0,23.55,54.9,1.0,22.3,57.24,0.9,21.1,58.52,0.9,20.55
 Sarsa_l,0.0_0.65_0.55_0.005_0.79,46.1,1.0,23.7,48.3,1.0,22.2,50.69,0.9,20.8,52.38,0.9,20.06,53.45,0.9,20.11
 Sarsa_l,0.0_0.65_0.55_0.005_0.99,29.1,0.8,17.8,23.6,0.7,16.05,15.9,0.8,18.33,14.06,0.92,21.1,16.54,1.07,24.58
 Sarsa_l,0.0_0.65_0.55_0.052_0.6,49.7,0.8,18.8,51.35,0.8,18.1,51.93,0.8,18.01,52.3,0.8,18.16,52.43,0.8,18.19
 Sarsa_l,0.0_0.65_0.55_0.052_0.79,45.4,0.8,18.2,46.8,0.8,17.75,47.56,0.8,17.83,47.99,0.8,17.85,48.2,0.8,17.9
 Sarsa_l,0.0_0.65_0.55_0.052_0.99,17.5,0.7,15.8,13.75,0.85,18.75,13.49,0.91,21.09,14.94,1.0,22.84,16.17,1.08,24.3
 Sarsa_l,0.0_0.65_0.55_0.1_0.6,46.2,0.8,17.1,47.2,0.7,16.9,47.66,0.7,16.99,47.92,0.7,17.09,47.99,0.7,17.0
 Sarsa_l,0.0_0.65_0.55_0.1_0.79,42.5,0.7,16.4,43.45,0.7,16.55,43.87,0.7,16.7,44.03,0.7,16.8,44.12,0.7,16.8
 Sarsa_l,0.0_0.65_0.55_0.1_0.99,17.8,0.7,15.0,15.1,0.75,17.7,13.41,0.89,20.6,14.23,0.99,22.2,15.08,1.0,22.98
 Sarsa_l,0.0_0.9_0.1_0.005_0.6,46.1,1.1,25.4,47.0,1.1,25.6,48.01,1.1,25.79,52.84,1.1,24.7,59.34,1.02,23.72
 Sarsa_l,0.0_0.9_0.1_0.005_0.79,46.4,1.1,24.4,47.05,1.1,24.5,47.7,1.1,24.64,51.6,1.08,24.24,58.69,1.0,23.44
 Sarsa_l,0.0_0.9_0.1_0.005_0.99,42.2,1.1,25.1,43.7,1.1,24.9,44.71,1.1,25.11,46.11,1.1,25.12,51.08,1.1,25.49
 Sarsa_l,0.0_0.9_0.1_0.052_0.6,46.4,1.0,24.0,51.65,1.0,23.15,56.56,1.0,22.69,59.77,1.0,22.22,61.11,0.97,21.84
 Sarsa_l,0.0_0.9_0.1_0.052_0.79,44.3,1.0,23.5,49.55,1.0,23.1,55.16,1.0,23.0,59.19,1.0,22.18,61.0,0.94,21.65
 Sarsa_l,0.0_0.9_0.1_0.052_0.99,40.4,1.0,23.3,41.95,1.0,22.75,44.51,1.0,22.59,48.13,0.98,22.06,51.11,0.9,20.83
 Sarsa_l,0.0_0.9_0.1_0.1_0.6,47.2,1.0,23.4,51.8,1.0,22.2,55.6,0.9,20.66,57.55,0.9,20.06,58.31,0.9,19.83
 Sarsa_l,0.0_0.9_0.1_0.1_0.79,44.1,1.0,22.3,49.75,1.0,21.9,54.14,0.9,21.04,56.58,0.9,20.36,57.67,0.9,20.08
 Sarsa_l,0.0_0.9_0.1_0.1_0.99,39.9,0.9,21.1,41.2,0.9,20.35,43.19,0.9,19.73,45.42,0.8,18.75,47.16,0.8,18.46
 Sarsa_l,0.0_0.9_0.33_0.005_0.6,48.0,1.1,26.0,50.7,1.1,25.65,55.03,1.1,24.49,59.14,1.0,23.36,61.64,1.0,22.17
 Sarsa_l,0.0_0.9_0.33_0.005_0.79,45.7,1.1,24.2,47.15,1.0,23.1,49.86,1.0,22.4,52.52,1.0,21.89,54.23,1.0,21.74
 Sarsa_l,0.0_0.9_0.33_0.005_0.99,22.4,0.8,18.7,10.05,0.75,17.1,4.1,0.63,14.16,2.22,0.5,11.76,1.42,0.5,11.97
 Sarsa_l,0.0_0.9_0.33_0.052_0.6,51.5,0.9,21.5,54.5,0.9,20.2,56.34,0.84,19.41,57.19,0.8,19.24,57.51,0.8,19.2
 Sarsa_l,0.0_0.9_0.33_0.052_0.79,45.6,0.8,19.2,47.35,0.8,18.7,48.57,0.8,18.85,49.13,0.8,19.12,49.45,0.8,19.23
 Sarsa_l,0.0_0.9_0.33_0.052_0.99,3.6,0.6,12.3,2.85,0.5,10.5,2.54,0.5,10.01,2.28,0.5,10.26,2.14,0.5,10.15
 Sarsa_l,0.0_0.9_0.33_0.1_0.6,49.9,0.8,18.6,51.85,0.8,17.75,52.77,0.8,17.6,53.24,0.8,17.67,53.39,0.8,17.68
 Sarsa_l,0.0_0.9_0.33_0.1_0.99,4.8,0.55,12.35,4.4,0.55,11.45,4.24,0.55,11.26,4.13,0.55,11.3,4.18,0.55,11.25
 Sarsa_l,0.0_0.9_0.55_0.005_0.6,45.95,1.1,24.0,48.32,1.0,23.1,50.54,0.93,21.57,52.3,0.9,20.48,53.14,0.9,20.22
 Sarsa_l,0.0_0.9_0.55_0.005_0.79,36.65,0.9,21.15,33.95,0.9,20.55,32.72,0.9,21.04,32.54,0.96,21.74,32.81,1.0,22.24
 Sarsa_l,0.0_0.9_0.55_0.005_0.99,20.7,0.9,19.9,9.05,0.68,15.85,2.15,0.44,10.14,-0.24,0.32,7.49,-0.19,0.26,5.8
 Sarsa_l,0.0_0.9_0.55_0.052_0.6,46.35,0.8,18.3,47.5,0.8,18.07,48.11,0.8,18.01,48.35,0.8,18.05,48.47,0.8,18.07
 Sarsa_l,0.0_0.9_0.55_0.052_0.79,29.25,0.8,18.1,29.62,0.8,18.62,29.86,0.84,19.13,30.03,0.85,19.45,30.15,0.86,19.67
 Sarsa_l,0.0_0.9_0.55_0.052_0.99,2.2,0.3,7.1,0.28,0.25,5.75,-0.39,0.2,4.96,-0.07,0.2,3.84,0.12,0.11,3.23
 Sarsa_l,0.0_0.9_0.55_0.1_0.6,43.25,0.7,16.4,44.15,0.7,16.45,44.53,0.7,16.58,44.72,0.7,16.67,44.8,0.7,16.65
 Sarsa_l,0.0_0.9_0.55_0.1_0.79,27.95,0.7,16.85,28.28,0.8,17.3,28.39,0.8,17.6,28.44,0.8,17.72,28.6,0.8,17.74
 Sarsa_l,0.0_0.9_0.55_0.1_0.99,2.55,0.3,6.35,0.9,0.25,5.4,0.29,0.25,5.07,0.45,0.21,4.36,0.63,0.29,6.27
